id,uri,start,end
f0a9f1ca14764095ae089b152e0e7f12,http://dbpedia.org/ontology/creator,23,25
f0a9f1ca14764095ae089b152e0e7f12,http://dbpedia.org/resource/Bill_Finger,38,48
f0a9f1ca14764095ae089b152e0e7f12,http://dbpedia.org/ontology/ComicsCharacter,12,21
30b709079ea5421cb33c227c3feb9019,http://dbpedia.org/resource/Selwyn_Lloyd,44,55
30b709079ea5421cb33c227c3feb9019,http://dbpedia.org/ontology/primeMinister,26,39
30b709079ea5421cb33c227c3feb9019,http://dbpedia.org/resource/Winston_Churchill,4,20
dad51bf9d0294cac99d176aba17c0241,http://dbpedia.org/resource/Gestapo,52,58
dad51bf9d0294cac99d176aba17c0241,http://dbpedia.org/ontology/parentOrganisation,25,43
dad51bf9d0294cac99d176aba17c0241,http://dbpedia.org/ontology/leader,10,16
00a3465694634edc903510572f23b487,http://dbpedia.org/property/constituency,16,19
00a3465694634edc903510572f23b487,http://dbpedia.org/resource/Mumbai_North_(Lok_Sabha_constituency),33,44
00a3465694634edc903510572f23b487,http://dbpedia.org/ontology/party,6,10
8216e5b6033a407191548689994aa32e,http://dbpedia.org/resource/Roberto_Clemente_Bridge,25,47
8216e5b6033a407191548689994aa32e,http://dbpedia.org/ontology/municipality,9,20
e963127fc9c048e089c071e56b80f214,http://dbpedia.org/property/mother,67,72
e963127fc9c048e089c071e56b80f214,http://dbpedia.org/resource/Cleopatra_V_of_Egypt,80,88
e963127fc9c048e089c071e56b80f214,http://dbpedia.org/property/spouse,29,35
e963127fc9c048e089c071e56b80f214,http://dbpedia.org/resource/Ptolemy_XIII_Theos_Philopator,29,46
e963127fc9c048e089c071e56b80f214,http://dbpedia.org/ontology/Royalty,6,12
4447f7daa7cf45eaadac04711dce299a,http://dbpedia.org/ontology/successor,27,33
4447f7daa7cf45eaadac04711dce299a,http://dbpedia.org/resource/Li_Si,21,25
4447f7daa7cf45eaadac04711dce299a,http://dbpedia.org/ontology/monarch,9,15
a899e312823543e7b728a2517d29392d,http://dbpedia.org/resource/Pavel_Moroz,19,29
a899e312823543e7b728a2517d29392d,http://dbpedia.org/property/hometown,6,14
a899e312823543e7b728a2517d29392d,http://dbpedia.org/resource/Yakov_Estrin,60,71
a899e312823543e7b728a2517d29392d,http://dbpedia.org/ontology/deathPlace,38,42
338733202ebc4df1b6b92c618ebe3fc7,http://dbpedia.org/property/assembly,20,28
338733202ebc4df1b6b92c618ebe3fc7,"http://dbpedia.org/resource/Broadmeadows,_Victoria",42,63
338733202ebc4df1b6b92c618ebe3fc7,http://dbpedia.org/ontology/parentCompany,6,12
338733202ebc4df1b6b92c618ebe3fc7,http://dbpedia.org/ontology/Automobile,20,28
efa779115ad94d16aa180258a272a399,http://dbpedia.org/ontology/designCompany,13,20
efa779115ad94d16aa180258a272a399,http://dbpedia.org/resource/ASC_Creative_Services,62,78
efa779115ad94d16aa180258a272a399,http://dbpedia.org/property/designer,13,20
efa779115ad94d16aa180258a272a399,http://dbpedia.org/ontology/Automobile,22,24
7136d470a4c340bb8a9e1b60d5e68fdf,http://dbpedia.org/ontology/doctoralAdvisor,68,75
7136d470a4c340bb8a9e1b60d5e68fdf,http://dbpedia.org/resource/Ernest_Rutherford,40,56
7136d470a4c340bb8a9e1b60d5e68fdf,http://dbpedia.org/property/doctoralStudents,68,84
